gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4089831991,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b,71260dc0-36a5-4c3d-9979-94cf2d08c4a4,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,FK,Fitz Cove,,PRESENT,NA,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-51.747866,-58.180226,NA,NA,NA,NA,NA,NA,2023-01-11T14:41:28Z,11,1,2023,2481660,2481660,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,d472b7d0be5e1159a8cb2473525386473bd553cec74333bce7ad1c6cfdc957b1,NA,,2023-04-25T20:57:09Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4089774991,b466f282-9cad-4442-b031-f74897af65b5,71260dc0-36a5-4c3d-9979-94cf2d08c4a4,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,FK,Fitz Cove,,PRESENT,NA,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-51.747866,-58.180226,NA,NA,NA,NA,NA,NA,2023-01-11T14:41:28Z,11,1,2023,2481660,2481660,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,d472b7d0be5e1159a8cb2473525386473bd553cec74333bce7ad1c6cfdc957b1,NA,,2023-04-25T14:44:08Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4080947211,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154026186,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.146688,-37.26398,744,NA,NA,NA,NA,NA,2023-03-22T11:23:00Z,22,3,2023,2481660,2481660,HUMAN_OBSERVATION,iNaturalist,Observations,154026186,,Rémi Bigonneau,2023-04-09T01:06:13Z,CC_BY_NC_4_0,TContadorM,TContadorM,NA,,2023-04-19T13:19:51Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4076354493,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152295804,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,FK,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-51.4777,-57.835868,NA,NA,NA,NA,NA,NA,2023-03-25T11:28:29Z,25,3,2023,2481660,2481660,HUMAN_OBSERVATION,iNaturalist,Observations,152295804,,loni7575,2023-03-25T21:42:04Z,CC_BY_NC_4_0,loni7575,loni7575,NA,,2023-04-19T13:25:15Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4076314221,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152883122,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,FK,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-51.049301,-61.107653,2915,NA,NA,NA,NA,NA,2023-03-26T08:21:00Z,26,3,2023,2481660,2481660,HUMAN_OBSERVATION,iNaturalist,Observations,152883122,,annewd,2023-03-30T23:59:57Z,CC_BY_NC_4_0,annewd,annewd,NA,,2023-04-19T13:20:32Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4075928788,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152529190,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,FK,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-51.308041,-60.234303,NA,NA,NA,NA,NA,NA,2023-03-26T14:20:00Z,26,3,2023,2481660,2481660,HUMAN_OBSERVATION,iNaturalist,Observations,152529190,,scienceco_fn,2023-03-27T18:09:15Z,CC_BY_NC_4_0,scienceco_fn,scienceco_fn,NA,,2023-04-19T13:25:04Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4075894735,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152442266,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,FK,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-51.308128,-60.236528,2403,NA,NA,NA,NA,NA,2023-03-26T09:21:32Z,26,3,2023,2481660,2481660,HUMAN_OBSERVATION,iNaturalist,Observations,152442266,,nadjawe,2023-03-26T23:46:23Z,CC_BY_NC_4_0,nadjawe,nadjawe,NA,,2023-04-19T13:21:52Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4075844017,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152683832,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,AR,,Tierra del Fuego,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.815562,-68.30264,686,NA,NA,NA,NA,NA,2023-03-12T10:07:29Z,12,3,2023,2481660,2481660,HUMAN_OBSERVATION,iNaturalist,Observations,152683832,,María Fernanda Goracy,2023-03-29T01:22:13Z,CC_BY_NC_4_0,María Fernanda Goracy,María Fernanda Goracy,NA,,2023-04-19T13:21:36Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4075609235,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152100067,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,AU,,Tasmania,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.502302,158.930735,7,NA,NA,NA,NA,NA,2022-11-29T17:29:00Z,29,11,2022,2481660,2481660,HUMAN_OBSERVATION,iNaturalist,Observations,152100067,,sea-kangaroo,2023-03-24T03:28:34Z,CC_BY_4_0,sea-kangaroo,sea-kangaroo,NA,,2023-04-19T13:27:01Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4067558372,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/151611619,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,,SPECIES,"Aptenodytes patagonicus J.F.Miller, 1778",Aptenodytes patagonicus,,AR,,Tierra del Fuego,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.810289,-68.313538,9,NA,NA,NA,NA,NA,2023-03-12T18:08:40Z,12,3,2023,2481660,2481660,HUMAN_OBSERVATION,iNaturalist,Observations,151611619,,Pablo,2023-03-19T15:02:31Z,CC_BY_4_0,Pablo,Pablo,NA,,2023-04-19T13:26:19Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
