gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4057220390,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/261035826,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,70,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.364171,-9.916942,36,NA,NA,NA,NA,NA,2018-04-10T00:00:00Z,10,4,2018,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.261035826,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 56245,NA,,2023-04-18T13:16:48Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4056320231,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/261105084,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,100,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.36597,-9.905784,36,NA,NA,NA,NA,NA,2018-04-10T00:00:00Z,10,4,2018,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.261105084,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 56245,NA,,2023-04-18T13:16:48Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4034880814,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/148749503,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,NA,NA,28874,NA,NA,NA,NA,NA,2023-01-18T16:43:54Z,18,1,2023,4352338,4352338,HUMAN_OBSERVATION,iNaturalist,Observations,148749503,,Justin Rhys Nicolau,2023-02-14T09:13:41Z,CC_BY_NC_4_0,Justin Rhys Nicolau,Justin Rhys Nicolau,NA,,2023-04-19T13:20:48Z,StillImage,
3731906864,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/229098669,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,300,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.361817,-9.920257,18,NA,NA,NA,NA,NA,2018-04-10T00:00:00Z,10,4,2018,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.229098669,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 4078,NA,,2023-04-18T13:14:30Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3723967684,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/233007700,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,100,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.342357,-9.920998,580,NA,NA,NA,NA,NA,2018-04-10T00:00:00Z,10,4,2018,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.233007700,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 247,NA,,2023-04-18T13:14:44Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3723831857,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/229100232,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,70,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.364171,-9.916942,36,NA,NA,NA,NA,NA,2018-04-10T00:00:00Z,10,4,2018,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.229100232,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 4078,NA,,2023-04-18T13:14:33Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3723469609,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/229100321,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,100,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.36597,-9.905784,36,NA,NA,NA,NA,NA,2018-04-10T00:00:00Z,10,4,2018,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.229100321,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 4078,NA,,2023-04-18T13:16:47Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3715786505,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/150672535,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,200,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.299638,-9.913073,100,NA,NA,NA,NA,NA,2018-04-10T00:00:00Z,10,4,2018,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.150672535,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 4078,NA,,2023-04-18T13:15:45Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3715036224,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/103588360,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,5,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.3144,-9.855,100,NA,NA,NA,NA,NA,2015-04-09T00:00:00Z,9,4,2015,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.103588360,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 14289,NA,,2023-04-18T13:15:36Z,,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3714935039,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/101057773,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Gough Island,,PRESENT,5,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-40.3144,-9.855,100,NA,NA,NA,NA,NA,2015-04-09T00:00:00Z,9,4,2015,4352338,4352338,HUMAN_OBSERVATION,,Observations,OBS.101057773,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 8456,NA,,2023-04-18T13:13:32Z,,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3689016263,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1281271144,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,FK,"Kidney Cove FK (-51.626, -57.776)",Falkland Islands (Malvinas),PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,-51.625824,-57.77612,NA,NA,NA,NA,NA,NA,2021-11-20T00:00:00Z,20,11,2021,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS1281271144,,,NA,CC_BY_4_0,,obsr1928104,NA,,2023-01-24T15:09:42Z,,CONTINENT_DERIVED_FROM_COORDINATES
3679991940,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1253006079,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Lowlands: bogfern and Phylica; including meteorological station,Tristan da Cunha,PRESENT,500,e2e717bf-551a-4917-bdc9-4fa0f342c530,-40.35297,-9.888066,NA,NA,NA,NA,NA,NA,2021-10-09T00:00:00Z,9,10,2021,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS1253006079,,,NA,CC_BY_4_0,,obsr2458227,NA,,2023-01-24T15:32:46Z,,CONTINENT_DERIVED_FROM_COORDINATES
3656137962,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1291703718,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,FK,New Island--South rookery,Falkland Islands (Malvinas),PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-51.715824,-61.312115,NA,NA,NA,NA,NA,NA,2021-12-07T00:00:00Z,7,12,2021,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS1291703718,,,NA,CC_BY_4_0,,obsr362263,NA,,2023-01-24T15:10:35Z,,CONTINENT_DERIVED_FROM_COORDINATES
3646448852,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1147126700,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,SH,Lowlands: bogfern and Phylica; including meteorological station,Tristan da Cunha,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-40.35297,-9.888066,NA,NA,NA,NA,NA,NA,2021-05-08T00:00:00Z,8,5,2021,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS1147126700,,,NA,CC_BY_4_0,,obsr2458227,NA,,2023-01-24T15:11:19Z,,CONTINENT_DERIVED_FROM_COORDINATES
3621458612,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1106439466,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes moseleyi,,SPECIES,"Eudyptes moseleyi Mathews & Iredale, 1921",Eudyptes moseleyi,,FK,"FK (-51.609, -57.84)",Falkland Islands (Malvinas),PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-51.60899,-57.8396,NA,NA,NA,NA,NA,NA,2021-03-29T00:00:00Z,29,3,2021,4352338,4352338,HUMAN_OBSERVATION,CLO,EBIRD,OBS1106439466,,,NA,CC_BY_4_0,,obsr321540,NA,,2023-01-24T15:30:32Z,,CONTINENT_DERIVED_FROM_COORDINATES
