gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4090454612,b466f282-9cad-4442-b031-f74897af65b5,4a2aa0a7-9123-4298-8c9a-bd65024d7f10,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,Cemetery Point,Southland,PRESENT,3,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-44.667734,167.927162,NA,NA,NA,NA,NA,NA,2022-11-13T18:33:38Z,13,11,2022,2481634,2481634,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,335c08f54763b2cad678b5844ed87942f8eaa57bd3d238b8734acdc488dd1843,NA,,2023-04-25T14:42:00Z,,CONTINENT_DERIVED_FROM_COORDINATES
4090183612,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b,4a2aa0a7-9123-4298-8c9a-bd65024d7f10,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,Cemetery Point,Southland,PRESENT,3,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-44.667734,167.927162,NA,NA,NA,NA,NA,NA,2022-11-13T18:33:38Z,13,11,2022,2481634,2481634,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,335c08f54763b2cad678b5844ed87942f8eaa57bd3d238b8734acdc488dd1843,NA,,2023-04-25T20:53:12Z,,CONTINENT_DERIVED_FROM_COORDINATES
4054733916,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150194362,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.643769,170.624996,27126,NA,NA,NA,NA,NA,2023-02-28T14:49:14Z,28,2,2023,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,150194362,,Liana Seeto,2023-03-04T08:56:58Z,CC_BY_NC_4_0,Liana Seeto,Liana Seeto,NA,,2023-04-19T13:25:44Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4046700896,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149536043,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.298501,167.086976,27190,NA,NA,NA,NA,NA,2017-12-04T21:28:05Z,4,12,2017,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,149536043,,Christoph Posch,2023-02-24T06:43:18Z,CC_BY_NC_4_0,dankeny,dankeny,NA,,2023-04-19T13:27:14Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4046628874,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149535756,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.375839,167.060864,27190,NA,NA,NA,NA,NA,2017-12-04T18:41:23Z,4,12,2017,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,149535756,,dankeny,2023-02-24T06:20:00Z,CC_BY_NC_4_0,dankeny,dankeny,NA,,2023-04-19T13:26:54Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4032926839,37beb6ea-e591-41e3-b781-e384250dc42c,afc6b067-d138-46ad-a69d-b859ad795baa,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,"G.R. Gray & Sharpe, 1845",AU,,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.4602,144.1115,20,NA,NA,NA,NA,NA,2019-07-17T00:00:00Z,17,7,2019,2481634,2481634,OCCURRENCE,,,11113851,,,NA,CC_BY_4_0,,"Keenan, Mark",NA,,2023-04-23T19:53:08Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4032891637,37beb6ea-e591-41e3-b781-e384250dc42c,aba07637-1c04-4105-81b9-1678bb10734d,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,"G.R. Gray & Sharpe, 1845",AU,,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.7668,143.388,1,NA,NA,NA,NA,NA,2019-08-03T00:00:00Z,3,8,2019,2481634,2481634,OCCURRENCE,,,11399503,,,NA,CC_BY_4_0,,Members BirdLife Australia 2014,NA,,2023-04-23T19:51:16Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4032853740,37beb6ea-e591-41e3-b781-e384250dc42c,40da0f84-704a-4fe1-9042-28ca8de5a896,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,"G.R. Gray & Sharpe, 1845",AU,,Victoria,PRESENT,NA,a4ee8241-94f8-40b8-8c47-31aaf9430c90,-38.6187,143.9128,10,NA,NA,NA,NA,NA,2019-07-10T00:00:00Z,10,7,2019,2481634,2481634,OCCURRENCE,,,11113843,,,NA,CC_BY_4_0,,"Keenan, Mark",NA,,2023-04-23T19:52:13Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4028840760,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/147686747,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-46.795323,169.173279,26967,NA,NA,NA,NA,NA,2023-01-29T17:27:45Z,29,1,2023,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,147686747,,perryfr,2023-01-30T08:59:11Z,CC_BY_NC_4_0,perryfr,perryfr,NA,,2023-04-19T13:20:40Z,StillImage,COORDINATE_ROUNDED
4028612299,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/147592688,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,West Coast,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-43.930461,168.79372,27411,NA,NA,NA,NA,NA,2023-01-24T12:14:00Z,24,1,2023,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,147592688,,William Harland,2023-01-29T06:37:01Z,CC_BY_NC_4_0,William Harland,William Harland,NA,,2023-04-19T13:19:17Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4012029334,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/145702148,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-44.632089,167.900393,27285,NA,NA,NA,NA,NA,2022-10-20T15:19:05Z,20,10,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,145702148,,awenithology,2023-01-02T22:31:44Z,CC_BY_NC_4_0,awenithology,awenithology,NA,,2023-04-19T13:21:33Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4009818592,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/142850971,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.188127,166.843765,27222,NA,NA,NA,NA,NA,2022-11-18T18:11:00Z,18,11,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,142850971,,Dave Holland,2022-11-25T20:51:48Z,CC_BY_NC_4_0,Dave Holland,Dave Holland,NA,,2023-04-19T13:20:59Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3999626602,40c0f670-ee87-4576-be9d-2725e0b47035,858cd47b-2801-436f-860e-337edf602bda,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,"G.R. Gray & Sharpe, 1845",AU,,South Australia,PRESENT,1,4c46f883-69c1-42ac-8a20-4cdba2afb9a6,-33.26345,134.71523,250,NA,NA,NA,NA,NA,2020-08-16T00:00:00Z,16,8,2020,2481634,2481634,HUMAN_OBSERVATION,,,OPB1088392-1,,,NA,CC_BY_4_0,,,NA,,2023-04-22T00:13:01Z,,CONTINENT_DERIVED_FROM_COORDINATES
3994052947,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/144060801,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-44.655315,167.833323,27285,NA,NA,NA,NA,NA,2022-12-05T15:20:32Z,5,12,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,144060801,,David,2022-12-10T08:48:43Z,CC_BY_NC_4_0,David,David,NA,,2023-04-19T13:17:52Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3988753426,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/102805652,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-46.229285,167.980589,27031,NA,NA,NA,NA,NA,2021-12-10T15:04:00Z,10,12,2021,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,102805652,,Lloyd Esler,2021-12-10T07:14:25Z,CC_BY_NC_4_0,Lloyd Esler,Lloyd Esler,NA,,2023-04-19T13:16:29Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3988448782,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/143408714,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-44.553335,167.701825,27317,NA,NA,NA,NA,NA,2022-11-17T12:11:48Z,17,11,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,143408714,,Juzah Zammit-Ross,2022-12-01T05:54:14Z,CC_BY_NC_4_0,tyler3579,tyler3579,NA,,2023-04-19T13:21:18Z,StillImage,COORDINATE_ROUNDED
3986253000,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/142850977,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.435416,167.183063,27158,NA,NA,NA,NA,NA,2022-11-20T12:15:00Z,20,11,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,142850977,,Dave Holland,2022-11-25T20:51:49Z,CC_BY_NC_4_0,Dave Holland,Dave Holland,NA,,2023-04-19T13:19:41Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3986247374,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/142346974,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.332264,167.614948,272984,NA,NA,NA,NA,NA,2022-11-19T10:24:17Z,19,11,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,142346974,,Jesse Saofia,2022-11-19T07:05:35Z,CC_BY_NC_4_0,Jesse Saofia,Jesse Saofia,NA,,2023-04-19T13:20:53Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3963643765,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/140950254,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,West Coast,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-43.766043,169.321912,27443,NA,NA,NA,NA,NA,2022-11-03T14:54:00Z,3,11,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,140950254,,Paddy Kemner,2022-11-03T05:24:20Z,CC_BY_NC_4_0,Paddy Kemner,Paddy Kemner,NA,,2023-04-19T13:26:39Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3947826460,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/138816132,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,West Coast,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-43.648373,169.343383,27443,NA,NA,NA,NA,NA,2021-10-31T17:12:22Z,31,10,2021,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,138816132,,Darren Creighton,2022-10-15T10:03:31Z,CC_BY_NC_4_0,Darren Creighton,Darren Creighton,NA,,2023-04-19T13:24:53Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3947636726,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/139946564,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,West Coast,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-43.660872,169.312518,27443,NA,NA,NA,NA,NA,2022-10-25T17:54:34Z,25,10,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,139946564,,charnts,2022-10-25T08:48:12Z,CC_BY_NC_4_0,charnts,charnts,NA,,2023-04-19T13:20:42Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3915672400,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/136673951,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,NA,NA,27443,NA,NA,NA,NA,NA,2022-09-25T15:01:32Z,25,9,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,136673951,,Darren Creighton,2022-09-27T10:42:44Z,CC_BY_NC_4_0,Darren Creighton,Darren Creighton,NA,,2023-04-19T13:21:39Z,StillImage,
3894219968,2cd1e1df-4881-404e-8303-31d42e304fb4,8409,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,"Gray, 1845",NZ,Fiordland,,PRESENT,NA,1c9c3bb4-377c-4547-aa79-16ea755d6006,-46.242256,166.658985,30,NA,NA,NA,NA,NA,2016-09-26T19:00:00Z,26,9,2016,2481634,2481634,HUMAN_OBSERVATION,Dragonfly Data Services,Protected species bycatch,,,necropsy,NA,CC_BY_4_0,Ministry for Primary Industries,,NA,,2023-03-23T22:33:59Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3894218858,2cd1e1df-4881-404e-8303-31d42e304fb4,8235,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,"Gray, 1845",NZ,Fiordland,,PRESENT,NA,1c9c3bb4-377c-4547-aa79-16ea755d6006,-46.231088,166.68497,30,NA,NA,NA,NA,NA,2016-09-15T20:00:00Z,15,9,2016,2481634,2481634,HUMAN_OBSERVATION,Dragonfly Data Services,Protected species bycatch,,,necropsy,NA,CC_BY_4_0,Ministry for Primary Industries,,NA,,2023-03-23T22:33:59Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3894217605,2cd1e1df-4881-404e-8303-31d42e304fb4,9329,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,"Gray, 1845",NZ,Fiordland,,PRESENT,NA,1c9c3bb4-377c-4547-aa79-16ea755d6006,-46.071158,166.514738,30,NA,NA,NA,NA,NA,2018-09-09T07:50:00Z,9,9,2018,2481634,2481634,HUMAN_OBSERVATION,Dragonfly Data Services,Protected species bycatch,,,necropsy,NA,CC_BY_4_0,Ministry for Primary Industries,,NA,,2023-03-23T22:33:58Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3894217586,2cd1e1df-4881-404e-8303-31d42e304fb4,9318,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,"Gray, 1845",NZ,Stewart Snares Shelf,,PRESENT,NA,1c9c3bb4-377c-4547-aa79-16ea755d6006,-46.532956,166.903986,30,NA,NA,NA,NA,NA,2017-12-05T18:00:00Z,5,12,2017,2481634,2481634,HUMAN_OBSERVATION,Dragonfly Data Services,Protected species bycatch,,,necropsy,NA,CC_BY_4_0,Ministry for Primary Industries,,NA,,2023-03-23T22:33:58Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3892477695,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/130341352,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,,SPECIES,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-46.798713,169.014798,26967,NA,NA,NA,NA,NA,2022-01-14T17:48:00Z,14,1,2022,2481634,2481634,HUMAN_OBSERVATION,iNaturalist,Observations,130341352,,John Dunlop,2022-08-11T06:13:53Z,CC_BY_NC_4_0,John Dunlop,John Dunlop,NA,,2023-04-19T13:25:10Z,StillImage,COORDINATE_ROUNDED
