gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4090384515,b466f282-9cad-4442-b031-f74897af65b5,745b932b-e652-4342-81f3-391425681915,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,Waipapa Point,Southland,PRESENT,NA,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-46.660639,168.847056,NA,NA,NA,NA,NA,NA,2022-12-26T17:01:14Z,26,12,2022,2481632,2481632,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,98a5c7b6ebef6fd3ebb719c1ed3d7afad9053d5892230cb3231f276bbd0f7ec9,NA,,2023-04-25T14:42:17Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4080924619,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154452305,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.921904,170.607863,27095,NA,NA,NA,NA,NA,2017-12-05T14:13:10Z,5,12,2017,2481632,2481632,HUMAN_OBSERVATION,iNaturalist,Observations,154452305,,dankeny,2023-04-11T18:13:37Z,CC_BY_NC_4_0,dankeny,dankeny,NA,,2023-04-19T13:26:35Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4080619880,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/153732159,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.369688,170.989535,27190,NA,NA,NA,NA,NA,2023-04-07T08:58:32Z,7,4,2023,2481632,2481632,HUMAN_OBSERVATION,iNaturalist,Observations,153732159,,Chris Angell,2023-04-06T21:02:25Z,CC_BY_4_0,Chris Angell,Chris Angell,NA,,2023-04-19T13:21:35Z,StillImage,COORDINATE_ROUNDED
4080491518,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146866872,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-46.351395,167.674177,27031,NA,NA,NA,NA,NA,2022-12-20T06:20:00Z,20,12,2022,2481632,2481632,HUMAN_OBSERVATION,iNaturalist,Observations,146866872,,Saryu Mae,2023-03-12T18:18:10Z,CC_BY_NC_4_0,Saryu Mae,Saryu Mae,NA,,2023-04-19T13:26:15Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4076155348,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152984727,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.836224,170.654553,27095,NA,NA,NA,NA,NA,2023-03-25T19:31:56Z,25,3,2023,2481632,2481632,HUMAN_OBSERVATION,iNaturalist,Observations,152984727,,barachiel,2023-03-31T23:42:45Z,CC_BY_NC_4_0,barachiel,barachiel,NA,,2023-04-19T13:20:52Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4067716333,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/151622884,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-50.439074,166.317439,26357,NA,NA,NA,NA,NA,2023-02-05T13:06:39Z,5,2,2023,2481632,2481632,HUMAN_OBSERVATION,iNaturalist,Observations,151622884,,Rémi Bigonneau,2023-03-19T19:17:00Z,CC_BY_NC_4_0,Ester Serrao,Ester Serrao,NA,,2023-04-19T13:19:36Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4067561385,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/151664078,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-50.558298,166.231485,26357,NA,NA,NA,NA,NA,2023-02-05T10:20:14Z,5,2,2023,2481632,2481632,HUMAN_OBSERVATION,iNaturalist,Observations,151664078,,Ester Serrao,2023-03-19T22:20:29Z,CC_BY_NC_4_0,Ester Serrao,Ester Serrao,NA,,2023-04-19T13:19:42Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4067450365,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/151627148,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-50.470128,166.373673,26357,NA,NA,NA,NA,NA,2023-02-05T11:00:12Z,5,2,2023,2481632,2481632,HUMAN_OBSERVATION,iNaturalist,Observations,151627148,,Rémi Bigonneau,2023-03-19T19:15:59Z,CC_BY_NC_4_0,Ester Serrao,Ester Serrao,NA,,2023-04-19T13:17:14Z,StillImage,COORDINATE_ROUNDED
4062685609,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150533249,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,,Canterbury,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-42.599131,173.686836,27630,NA,NA,NA,NA,NA,2023-03-08T13:33:08Z,8,3,2023,2481632,2481632,HUMAN_OBSERVATION,iNaturalist,Observations,150533249,,dolphinonkeys,2023-03-08T00:35:19Z,CC_BY_NC_4_0,dolphinonkeys,dolphinonkeys,NA,,2023-04-19T13:25:58Z,StillImage,COORDINATE_ROUNDED
4057531278,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/260896454,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes,,SPECIES,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,,NZ,New Zealand - Oamaru,,PRESENT,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-45.113669,170.983083,34,NA,NA,NA,NA,NA,2018-03-20T00:00:00Z,20,3,2018,2481632,2481632,HUMAN_OBSERVATION,,Observations,OBS.260896454,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 190961,NA,,2023-04-18T13:17:14Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
