gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4080670298,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154084776,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-62.975992,-60.699988,4,NA,NA,NA,NA,NA,2023-01-11T13:08:03Z,11,1,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,154084776,,TContadorM,2023-04-09T12:07:21Z,CC_BY_NC_4_0,TContadorM,TContadorM,NA,,2023-04-19T13:17:21Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4063117930,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150780191,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-64.649057,-59.56526,25113,NA,NA,NA,NA,NA,2023-02-11T07:26:00Z,11,2,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,150780191,,steve b,2023-03-11T01:18:21Z,CC0_1_0,steve b,steve b,NA,,2023-04-19T13:24:52Z,StillImage,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
4063008245,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/151054016,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-67.481232,-67.591893,7376,NA,NA,NA,NA,NA,2023-03-06T15:33:36Z,6,3,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,151054016,,ariellebh,2023-03-13T18:34:10Z,CC_BY_NC_4_0,ariellebh,ariellebh,NA,,2023-04-19T13:25:19Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4062923752,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150618467,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-59.423371,-27.061487,488,NA,NA,NA,NA,NA,2020-01-10T07:33:00Z,10,1,2020,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,150618467,,Mariusz Potocki,2023-03-09T01:08:44Z,CC_BY_NC_4_0,Mariusz Potocki,Mariusz Potocki,NA,,2023-04-19T13:15:30Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4062893947,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150778332,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-63.348611,-55.550833,NA,NA,NA,NA,NA,NA,2023-02-01T09:13:00Z,1,2,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,150778332,,steve b,2023-03-11T00:49:56Z,CC0_1_0,steve b,steve b,NA,,2023-04-19T13:16:23Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
4062788807,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150654065,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-65.23655,-64.160544,3,NA,NA,NA,NA,NA,2023-02-26T15:20:48Z,26,2,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,150654065,,Sebastián Lescano,2023-03-09T14:24:15Z,CC_BY_4_0,Sebastián Lescano,Sebastián Lescano,NA,,2023-04-19T13:24:51Z,StillImage,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
4062778290,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/151053413,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-67.594938,-68.240416,2145,NA,NA,NA,NA,NA,2023-03-05T15:14:14Z,5,3,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,151053413,,ariellebh,2023-03-13T18:27:01Z,CC_BY_NC_4_0,ariellebh,ariellebh,NA,,2023-04-19T13:24:39Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4062738944,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150778595,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-63.904643,-56.168486,NA,NA,NA,NA,NA,NA,2023-02-01T16:10:00Z,1,2,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,150778595,,steve b,2023-03-11T00:55:08Z,CC0_1_0,steve b,steve b,NA,,2023-04-19T13:15:51Z,StillImage,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
4062615927,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150778333,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-63.453325,-55.5371,3906,NA,NA,NA,NA,NA,2023-02-01T08:06:00Z,1,2,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,150778333,,steve b,2023-03-11T00:49:57Z,CC0_1_0,steve b,steve b,NA,,2023-04-19T13:16:54Z,StillImage,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
4062549012,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150845700,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,SPECIES,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)",Pygoscelis adeliae,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-63.799198,-57.288921,NA,NA,NA,NA,NA,NA,2023-02-21T11:18:00Z,21,2,2023,2481663,2481663,HUMAN_OBSERVATION,iNaturalist,Observations,150845700,,steve b,2023-03-11T19:37:15Z,CC0_1_0,steve b,steve b,NA,,2023-04-19T13:24:53Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
