gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4090805859,b466f282-9cad-4442-b031-f74897af65b5,5eaf602e-f9da-4c46-9641-d47f3db5459c,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,AQ,,,PRESENT,4,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-66.558729,-66.837506,NA,NA,NA,NA,NA,NA,2023-02-03T22:00:49Z,3,2,2023,2481666,2481666,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,a89226db1b718001f208eb2c04655012a0805fd9c162ffedf80cedfedf71c0e3,NA,,2023-04-25T14:44:03Z,,COORDINATE_ROUNDED
4090668033,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b,db651547-06a5-49f8-87a8-d57d088c782a,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,CL,,XII Region of Magallanes and Chilean Antarctica,PRESENT,20,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-55.074738,-66.866749,NA,NA,NA,NA,NA,NA,2023-03-28T15:55:45Z,28,3,2023,2481666,2481666,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,97c33eea3270fd75809f7750e2ff3353a4db1fc1f55a62f6b8c055a83e207821,NA,,2023-04-25T20:55:11Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4090419367,b466f282-9cad-4442-b031-f74897af65b5,ade718f8-03f4-499f-8f40-9164b3f9dc35,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,FK,Fitz Cove,,PRESENT,NA,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-51.747866,-58.180226,NA,NA,NA,NA,NA,NA,2023-01-11T14:39:46Z,11,1,2023,2481666,2481666,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,d472b7d0be5e1159a8cb2473525386473bd553cec74333bce7ad1c6cfdc957b1,NA,,2023-04-25T14:44:30Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4090412033,b466f282-9cad-4442-b031-f74897af65b5,db651547-06a5-49f8-87a8-d57d088c782a,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,CL,,XII Region of Magallanes and Chilean Antarctica,PRESENT,20,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-55.074738,-66.866749,NA,NA,NA,NA,NA,NA,2023-03-28T15:55:45Z,28,3,2023,2481666,2481666,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,97c33eea3270fd75809f7750e2ff3353a4db1fc1f55a62f6b8c055a83e207821,NA,,2023-04-25T14:43:09Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4090250859,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b,5eaf602e-f9da-4c46-9641-d47f3db5459c,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,AQ,,,PRESENT,4,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-66.558729,-66.837506,NA,NA,NA,NA,NA,NA,2023-02-03T22:00:49Z,3,2,2023,2481666,2481666,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,a89226db1b718001f208eb2c04655012a0805fd9c162ffedf80cedfedf71c0e3,NA,,2023-04-25T20:56:44Z,,COORDINATE_ROUNDED
4090149367,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b,ade718f8-03f4-499f-8f40-9164b3f9dc35,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,FK,Fitz Cove,,PRESENT,NA,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-51.747866,-58.180226,NA,NA,NA,NA,NA,NA,2023-01-11T14:39:46Z,11,1,2023,2481666,2481666,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,d472b7d0be5e1159a8cb2473525386473bd553cec74333bce7ad1c6cfdc957b1,NA,,2023-04-25T20:57:30Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4080593994,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/153797435,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,CL,,Magallanes y Antártica Chilena,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.907602,-67.3823,173,NA,NA,NA,NA,NA,2023-03-16T16:59:37Z,16,3,2023,2481666,2481666,HUMAN_OBSERVATION,iNaturalist,Observations,153797435,,María Fernanda Goracy,2023-04-07T12:00:43Z,CC_BY_NC_4_0,María Fernanda Goracy,María Fernanda Goracy,NA,,2023-04-19T13:21:44Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4080492265,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154024495,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-64.687186,-62.622492,892,NA,NA,NA,NA,NA,2017-03-07T00:00:00Z,7,3,2017,2481666,2481666,HUMAN_OBSERVATION,iNaturalist,Observations,154024495,,Christine Heiser,2023-04-09T00:10:29Z,CC_BY_NC_4_0,Christine Heiser,Christine Heiser,NA,,2023-04-19T13:21:39Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4076337365,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152202243,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,CL,,Magallanes y Antártica Chilena,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.909048,-67.377409,316,NA,NA,NA,NA,NA,2023-03-12T14:48:00Z,12,3,2023,2481666,2481666,HUMAN_OBSERVATION,iNaturalist,Observations,152202243,,Jose Abelardo Sánchez,2023-03-25T03:14:25Z,CC_BY_NC_4_0,Jose Abelardo Sánchez,Jose Abelardo Sánchez,NA,,2023-04-19T13:26:22Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4076336417,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/152256989,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,,SPECIES,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-62.085443,-58.391343,599,NA,NA,NA,NA,NA,2023-03-03T10:05:00Z,3,3,2023,2481666,2481666,HUMAN_OBSERVATION,iNaturalist,Observations,152256989,,Maria Clara Gil,2023-03-25T16:17:37Z,CC_BY_NC_4_0,Maria Clara Gil,Maria Clara Gil,NA,,2023-04-19T13:20:14Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
