gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
730651188,830fd460-f762-11e1-a439-00145eb45e9a,URN:catalog:UWBM:Bird:95089,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,ZZ,"CAPTIVE; Woodland Park Zoo, Seattle, Washington",,PRESENT,1,06fcbbf0-0562-11d8-b851-b8a03c50a862,0,0,NA,NA,0,0,0,0,2018-09-08T00:00:00Z,8,9,2018,5229386,5229386,PRESERVED_SPECIMEN,UWBM,Bird,95089,,,NA,CC0_1_0,,,NA,,2023-01-25T07:01:01Z,,ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_UNCERTAINTY_METERS_INVALID;COUNTRY_COORDINATE_MISMATCH;CONTINENT_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4090789977,b466f282-9cad-4442-b031-f74897af65b5,bb9cadbe-0a1c-468e-ad71-994aa89b6b2f,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,CL,Chacao isla de Chiloé,Región de Los Lagos,PRESENT,NA,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-41.829566,-73.514562,NA,NA,NA,NA,NA,NA,2022-03-07T15:57:12Z,7,3,2022,5229386,5229386,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,98a5c7b6ebef6fd3ebb719c1ed3d7afad9053d5892230cb3231f276bbd0f7ec9,NA,,2023-04-25T14:44:38Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4080512017,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/153816219,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,PE,,Lima Province,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-12.275332,-76.908809,31092,NA,NA,NA,NA,NA,2023-04-06T16:18:08Z,6,4,2023,5229386,5229386,HUMAN_OBSERVATION,iNaturalist,Observations,153816219,,Monics Paredes,2023-04-07T15:25:52Z,CC_BY_NC_4_0,Monics Paredes,Monics Paredes,NA,,2023-04-19T13:20:55Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4076260793,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/139455906,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,CL,,Bío-Bío,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-36.758835,-73.104888,28505,NA,NA,NA,NA,NA,2022-10-08T16:26:00Z,8,10,2022,5229386,5229386,HUMAN_OBSERVATION,iNaturalist,Observations,139455906,,Leonardo Mondaca Lara,2022-10-20T19:17:35Z,CC_BY_4_0,Leonardo Mondaca Lara,Leonardo Mondaca Lara,NA,,2023-04-19T13:13:38Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4075994682,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/153325989,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,PE,,Lima Province,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-12.267304,-76.944808,31092,NA,NA,NA,NA,NA,2023-04-01T08:41:00Z,1,4,2023,5229386,5229386,HUMAN_OBSERVATION,iNaturalist,Observations,153325989,,David F. Belmonte,2023-04-03T14:43:47Z,CC_BY_NC_4_0,David F. Belmonte,David F. Belmonte,NA,,2023-04-19T13:21:01Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4075629585,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/117380607,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,CL,,Bío-Bío,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-36.679824000000004,-73.383317,28505,NA,NA,NA,NA,NA,2022-03-19T10:42:00Z,19,3,2022,5229386,5229386,HUMAN_OBSERVATION,iNaturalist,Observations,117380607,,Leonardo Mondaca Lara,2022-05-16T23:33:38Z,CC_BY_4_0,Leonardo Mondaca Lara,Leonardo Mondaca Lara,NA,,2023-04-19T13:21:33Z,StillImage,COORDINATE_ROUNDED
4075574645,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/117353704,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,CL,,Bío-Bío,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-36.734513,-73.007504,28505,NA,NA,NA,NA,NA,2022-03-10T17:32:00Z,10,3,2022,5229386,5229386,HUMAN_OBSERVATION,iNaturalist,Observations,117353704,,Leonardo Mondaca Lara,2022-05-16T19:46:08Z,CC_BY_4_0,Leonardo Mondaca Lara,Leonardo Mondaca Lara,NA,,2023-04-19T13:23:42Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4062981677,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150588834,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,CL,,Atacama,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-26.046283,-70.795458,29891,NA,NA,NA,NA,NA,2016-12-24T00:00:00Z,24,12,2016,5229386,5229386,HUMAN_OBSERVATION,iNaturalist,Observations,150588834,,Maëlis Rinaudo,2023-03-08T18:27:08Z,CC_BY_NC_4_0,Maëlis Rinaudo,Maëlis Rinaudo,NA,,2023-04-19T13:27:40Z,StillImage,COORDINATE_ROUNDED
4062654747,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150619630,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,CL,,Valparaíso,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-33.401328,-71.668836,28957,NA,NA,NA,NA,NA,2023-03-07T14:03:00Z,7,3,2023,5229386,5229386,HUMAN_OBSERVATION,iNaturalist,Observations,150619630,,longhy,2023-03-09T01:28:23Z,CC_BY_NC_4_0,longhy,longhy,NA,,2023-04-19T13:14:50Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4057580724,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/263061455,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,SPECIES,"Spheniscus humboldti Meyen, 1834",Spheniscus humboldti,,PE,Peru - Islas Ballestas,,PRESENT,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-13.733065,-76.395802,93,NA,NA,NA,NA,NA,2018-10-17T00:00:00Z,17,10,2018,5229386,5229386,HUMAN_OBSERVATION,,Observations,OBS.263061455,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 415092,NA,,2023-04-18T13:15:02Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
