gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4062932025,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150850833,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.171029,-36.743535,25781,NA,NA,NA,NA,NA,2023-03-03T07:32:00Z,3,3,2023,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,150850833,,steve b,2023-03-11T20:31:59Z,CC0_1_0,steve b,steve b,NA,,2023-04-19T13:26:05Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4062876015,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150848670,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-57.357169,-39.812371,25277,NA,NA,NA,NA,NA,2023-02-27T10:27:00Z,27,2,2023,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,150848670,,steve b,2023-03-11T20:08:44Z,CC0_1_0,steve b,steve b,NA,,2023-04-19T13:14:52Z,StillImage,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
4062653066,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150850834,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.032071,-36.771065,25781,NA,NA,NA,NA,NA,2023-03-03T10:07:00Z,3,3,2023,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,150850834,,steve b,2023-03-11T20:32:00Z,CC0_1_0,steve b,steve b,NA,,2023-04-19T13:26:06Z,StillImage,COORDINATE_ROUNDED
4039454598,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149265741,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.384678,-36.219248,25749,NA,NA,NA,NA,NA,2017-10-29T14:40:00Z,29,10,2017,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,149265741,,Mariusz Potocki,2023-02-20T21:23:33Z,CC_BY_NC_4_0,Mariusz Potocki,Mariusz Potocki,NA,,2023-04-19T13:25:01Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4028836591,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/105431682,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-56.359108,-27.539102,25433,NA,NA,NA,NA,NA,2022-01-17T08:12:00Z,17,1,2022,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,105431682,,Rémi Bigonneau,2022-01-23T17:30:37Z,CC_BY_NC_4_0,whale_nerd,whale_nerd,NA,,2023-04-19T13:26:52Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4028759938,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/140758502,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.121178,-36.710002,1982403,NA,NA,NA,NA,NA,2022-10-31T08:15:45Z,31,10,2022,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,140758502,,alexbarnard,2022-11-01T11:15:11Z,CC_BY_4_0,alexbarnard,alexbarnard,NA,,2023-04-19T13:17:55Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4018264130,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146507182,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,AQ,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-62.453035,-59.882529,24496,NA,NA,NA,NA,NA,2022-11-24T07:45:00Z,24,11,2022,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,146507182,,Tristan Jobin,2023-01-14T03:33:08Z,CC_BY_NC_4_0,Tristan Jobin,Tristan Jobin,NA,,2023-04-19T13:21:43Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4018158058,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146472846,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.184734,-36.695243,25781,NA,NA,NA,NA,NA,2022-11-18T15:59:00Z,18,11,2022,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,146472846,,Declan Troy,2023-01-13T16:43:03Z,CC_BY_NC_4_0,Declan Troy,Declan Troy,NA,,2023-04-19T13:15:04Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4015247953,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/145915664,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,FK,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-51.679106,-61.243408,26164,NA,NA,NA,NA,NA,2022-12-18T13:32:00Z,18,12,2022,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,145915664,,lancycheng,2023-01-05T20:24:32Z,CC_BY_NC_4_0,lancycheng,lancycheng,NA,,2023-04-19T13:24:31Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4015215141,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146040161,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,,SPECIES,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,,GS,,,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.182411,-36.666584,25781,NA,NA,NA,NA,NA,2022-11-18T15:31:00Z,18,11,2022,2481643,2481643,HUMAN_OBSERVATION,iNaturalist,Observations,146040161,,Declan Troy,2023-01-07T14:54:32Z,CC_BY_NC_4_0,Declan Troy,Declan Troy,NA,,2023-04-19T13:27:25Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
