gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4018173296,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146675399,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-50.645055,166.22316,26325,NA,NA,NA,NA,NA,2023-01-01T20:45:00Z,1,1,2023,6178307,4844854,HUMAN_OBSERVATION,iNaturalist,Observations,146675399,,Ben Ackerley,2023-01-16T07:52:12Z,CC_BY_4_0,Genevieve Early,Genevieve Early,NA,,2023-04-19T13:27:03Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4015112818,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/145800675,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-49.782486,178.806041,26486,NA,NA,NA,NA,NA,2022-11-17T12:25:00Z,17,11,2022,6178307,4844854,HUMAN_OBSERVATION,iNaturalist,Observations,145800675,,Dave Houston,2023-01-04T02:59:46Z,CC_BY_NC_4_0,Dave Houston,Dave Houston,NA,,2023-04-19T13:20:52Z,StillImage,COORDINATE_ROUNDED
4015002855,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/145812479,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,AU,,Tasmania,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.457461,158.93067,25717,NA,NA,NA,NA,NA,2022-11-29T18:54:00Z,29,11,2022,6178307,4844854,HUMAN_OBSERVATION,iNaturalist,Observations,145812479,,Rémi Bigonneau,2023-01-04T08:11:59Z,CC_BY_4_0,sea-kangaroo,sea-kangaroo,NA,,2023-04-19T13:25:27Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3854192304,2f7dd69a-5f89-4d8e-bd7f-a5f82089c89c,D877B6EF-B958-082A-E053-3014A8C0717A,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879","Eudyptes chrysocome filholi Hutton, 1879",,TF,,,PRESENT,NA,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-49.29819,69.48321,87006,NA,NA,NA,NA,NA,2018-12-19T00:00:00Z,19,12,2018,6178307,4844854,HUMAN_OBSERVATION,,,,,GUIBERT Quentin,2022-02-20T00:00:00Z,CC_BY_4_0,,GUIBERT Quentin (Réserve Naturelle des Terres Australes Françaises),NA,,2023-03-08T00:41:23Z,,COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES
3824973862,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/133075927,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,NZ,New Zealand - Auckland Island,,PRESENT,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-50.500111,166.284031,100,NA,NA,NA,NA,NA,2016-12-18T00:00:00Z,18,12,2016,6178307,4844854,HUMAN_OBSERVATION,,Observations,OBS.133075927,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 14473,NA,,2023-04-18T13:16:03Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3722946434,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/228889282,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,NZ,New Zealand - Antipodes Island,,PRESENT,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-49.704211,178.7821,123,NA,NA,NA,NA,NA,2017-11-25T00:00:00Z,25,11,2017,6178307,4844854,HUMAN_OBSERVATION,,Observations,OBS.228889282,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 53773,NA,,2023-04-18T13:16:41Z,,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3118262673,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/78700702,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-49.754262,178.642326,26486,NA,NA,NA,NA,NA,2021-03-15T10:51:00Z,15,3,2021,6178307,4844854,HUMAN_OBSERVATION,iNaturalist,Observations,78700702,,Christopher Stephens,2021-05-14T14:37:14Z,CC_BY_4_0,Christopher Stephens,Christopher Stephens,NA,,2023-04-19T13:16:09Z,StillImage,COORDINATE_ROUNDED
3117858650,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/78695102,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-49.613533,178.660098,26486,NA,NA,NA,NA,NA,2021-03-15T10:21:00Z,15,3,2021,6178307,4844854,HUMAN_OBSERVATION,iNaturalist,Observations,78695102,,Christopher Stephens,2021-05-14T13:39:19Z,CC_BY_4_0,Christopher Stephens,Christopher Stephens,NA,,2023-04-19T13:16:34Z,StillImage,COORDINATE_ROUNDED
3117772658,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/78695083,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-49.779209,178.855249,26486,NA,NA,NA,NA,NA,2021-03-15T10:03:00Z,15,3,2021,6178307,4844854,HUMAN_OBSERVATION,iNaturalist,Observations,78695083,,Christopher Stephens,2021-05-14T13:39:14Z,CC_BY_4_0,Christopher Stephens,Christopher Stephens,NA,,2023-04-19T13:21:24Z,StillImage,COORDINATE_ROUNDED
3117758844,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/78819716,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes filholi,filholi,SUBSPECIES,"Eudyptes chrysocome filholi Hutton, 1879",Eudyptes chrysocome filholi,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-49.768395,178.728184,26486,NA,NA,NA,NA,NA,2021-03-15T11:16:00Z,15,3,2021,6178307,4844854,HUMAN_OBSERVATION,iNaturalist,Observations,78819716,,Christopher Stephens,2021-05-15T12:07:57Z,CC_BY_4_0,Christopher Stephens,Christopher Stephens,NA,,2023-04-19T13:23:48Z,StillImage,COORDINATE_ROUNDED
