gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4054857892,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150161114,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.050162,166.770312,26743,NA,NA,NA,NA,NA,2023-02-04T16:15:03Z,4,2,2023,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,150161114,,john_early,2023-03-04T00:04:32Z,CC_BY_NC_4_0,Ester Serrao,Ester Serrao,NA,,2023-04-19T13:21:29Z,StillImage,COORDINATE_ROUNDED
4054753880,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150161118,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.191943,166.732939,26743,NA,NA,NA,NA,NA,2023-02-04T16:11:39Z,4,2,2023,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,150161118,,john_early,2023-03-04T00:05:06Z,CC_BY_NC_4_0,Ester Serrao,Ester Serrao,NA,,2023-04-19T13:19:23Z,StillImage,COORDINATE_ROUNDED
4028774895,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/147819451,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.050618,166.6042,26743,NA,NA,NA,NA,NA,2023-02-01T16:57:50Z,1,2,2023,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,147819451,,whale_nerd,2023-02-01T09:45:11Z,CC_BY_NC_4_0,whale_nerd,whale_nerd,NA,,2023-04-19T13:25:08Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4018351418,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146754276,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.008158,166.625151,26743,NA,NA,NA,NA,NA,2023-01-03T23:39:00Z,3,1,2023,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,146754276,,Genevieve Early,2023-01-17T11:24:54Z,CC_BY_4_0,Genevieve Early,Genevieve Early,NA,,2023-04-19T13:25:51Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3894212871,2cd1e1df-4881-404e-8303-31d42e304fb4,11493,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,"Oliver, 1953",NZ,Auckland Islands,,PRESENT,NA,1c9c3bb4-377c-4547-aa79-16ea755d6006,-50.66926,167.254018,30,NA,NA,NA,NA,NA,2020-02-18T00:32:05Z,18,2,2020,2481644,2481644,HUMAN_OBSERVATION,Dragonfly Data Sciences,Protected species bycatch,,,photograph,NA,CC_BY_4_0,Ministry for Primary Industries,,NA,,2023-03-23T22:33:56Z,,COORDINATE_ROUNDED;FOOTPRINT_WKT_MISMATCH
3825222056,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146173599,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,New Zealand - Snares Islands,,PRESENT,300,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-48.023183,166.611301,25,NA,NA,NA,NA,NA,2017-11-15T00:00:00Z,15,11,2017,2481644,2481644,HUMAN_OBSERVATION,,Observations,OBS.146173599,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:16:43Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3825194059,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146173593,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,New Zealand - Snares Islands,,PRESENT,50,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-48.024599,166.615453,25,NA,NA,NA,NA,NA,2017-11-15T00:00:00Z,15,11,2017,2481644,2481644,HUMAN_OBSERVATION,,Observations,OBS.146173593,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:13:51Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3825134039,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146173604,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,New Zealand - Snares Islands,,PRESENT,15,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-48.024377,166.610042,25,NA,NA,NA,NA,NA,2017-11-15T00:00:00Z,15,11,2017,2481644,2481644,HUMAN_OBSERVATION,,Observations,OBS.146173604,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:15:49Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3825089115,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146173612,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,New Zealand - Snares Islands,,PRESENT,25,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-48.02729,166.614791,25,NA,NA,NA,NA,NA,2017-11-15T00:00:00Z,15,11,2017,2481644,2481644,HUMAN_OBSERVATION,,Observations,OBS.146173612,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:15:32Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3824938058,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146173619,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,New Zealand - Snares Islands,,PRESENT,75,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-48.034898,166.624902,25,NA,NA,NA,NA,NA,2017-11-15T00:00:00Z,15,11,2017,2481644,2481644,HUMAN_OBSERVATION,,Observations,OBS.146173619,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:15:39Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3822274058,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146173597,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,New Zealand - Snares Islands,,PRESENT,250,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-48.016537,166.606786,10,NA,NA,NA,NA,NA,2017-11-15T00:00:00Z,15,11,2017,2481644,2481644,HUMAN_OBSERVATION,,Observations,OBS.146173597,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:13:49Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3728584126,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/201158351,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,New Zealand - Snares Islands,,PRESENT,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-48.029244,166.58661,25,NA,NA,NA,NA,NA,2020-02-14T00:00:00Z,14,2,2020,2481644,2481644,HUMAN_OBSERVATION,,Observations,OBS.201158351,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 5603,NA,,2023-04-18T13:14:19Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3660224283,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1335295594,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,Snares Islands (General),Southland,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.026455,166.60286,NA,NA,NA,NA,NA,NA,2016-01-04T00:00:00Z,4,1,2016,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD,OBS1335295594,,,NA,CC_BY_4_0,,obsr623717,NA,,2023-01-24T15:14:15Z,,CONTINENT_DERIVED_FROM_COORDINATES
3645421909,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1295006654,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,"Auto selected -47.94689, 166.72749",Southland,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-47.94689,166.7275,NA,NA,NA,NA,NA,NA,2021-12-02T00:00:00Z,2,12,2021,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1295006654,,,NA,CC_BY_4_0,,obsr397019,NA,,2023-01-24T15:10:37Z,,
3642033336,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1070501495,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,Tini Heke/The Snares—North East Island (south side),Southland,PRESENT,10,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.035263,166.59717,NA,NA,NA,NA,NA,NA,2021-02-07T00:00:00Z,7,2,2021,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1070501495,,,NA,CC_BY_4_0,,obsr733478,NA,,2023-01-24T15:22:30Z,,CONTINENT_DERIVED_FROM_COORDINATES
3641226797,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1295201742,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,"Auto selected -47.94689, 166.72749",Southland,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-47.94689,166.7275,NA,NA,NA,NA,NA,NA,2021-12-02T00:00:00Z,2,12,2021,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1295201742,,,NA,CC_BY_4_0,,obsr675689,NA,,2023-01-24T15:09:32Z,,
3593636805,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1057642082,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,AR,Ea. Palermo Aike,Santa Cruz,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-51.693233,-69.723976,NA,NA,NA,NA,NA,NA,2021-01-19T00:00:00Z,19,1,2021,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD,OBS1057642082,,,NA,CC_BY_4_0,,obsr1973920,NA,,2023-01-24T15:12:49Z,,CONTINENT_DERIVED_FROM_COORDINATES
3588475098,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1070486857,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,Tini Heke/The Snares—North East Island (east side),Southland,PRESENT,50,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.034027,166.61864,NA,NA,NA,NA,NA,NA,2021-02-07T00:00:00Z,7,2,2021,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1070486857,,,NA,CC_BY_4_0,,obsr733478,NA,,2023-01-24T15:22:43Z,,CONTINENT_DERIVED_FROM_COORDINATES
3587481123,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1070488636,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,,NZ,The Snares--Station Cove/Ho Ho Bay,Southland,PRESENT,1000,e2e717bf-551a-4917-bdc9-4fa0f342c530,-48.02372,166.61046,NA,NA,NA,NA,NA,NA,2021-02-07T00:00:00Z,7,2,2021,2481644,2481644,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1070488636,,,NA,CC_BY_4_0,,obsr733478,NA,,2023-01-24T15:21:21Z,,CONTINENT_DERIVED_FROM_COORDINATES
