gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4015181779,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/145800064,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-49.686256,178.807842,26486,NA,NA,NA,NA,NA,2022-11-21T12:19:00Z,21,11,2022,2481642,2481642,HUMAN_OBSERVATION,iNaturalist,Observations,145800064,,Dave Houston,2023-01-04T02:51:01Z,CC_BY_NC_4_0,Dave Houston,Dave Houston,NA,,2023-04-19T13:17:53Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4014850755,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/145805883,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,,Canterbury,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-47.647969,179.022062,26807,NA,NA,NA,NA,NA,2022-11-11T13:24:00Z,11,11,2022,2481642,2481642,HUMAN_OBSERVATION,iNaturalist,Observations,145805883,,Dave Houston,2023-01-04T04:47:33Z,CC_BY_NC_4_0,Dave Houston,Dave Houston,NA,,2023-04-19T13:25:18Z,StillImage,COORDINATE_ROUNDED
3825115086,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146172653,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,New Zealand - Antipodes Island,,PRESENT,150,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-49.70288,178.783362,25,NA,NA,NA,NA,NA,2017-11-25T00:00:00Z,25,11,2017,2481642,2481642,HUMAN_OBSERVATION,,Observations,OBS.146172653,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:15:43Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3825009087,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146172440,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,New Zealand - Bounty Islands,,PRESENT,10000,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-47.742466,179.022112,25,NA,NA,NA,NA,NA,2017-11-25T00:00:00Z,25,11,2017,2481642,2481642,HUMAN_OBSERVATION,,Observations,OBS.146172440,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:13:56Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3824995023,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146172560,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,New Zealand,,PRESENT,3,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-49.05832,178.911855,25,NA,NA,NA,NA,NA,2017-11-25T00:00:00Z,25,11,2017,2481642,2481642,HUMAN_OBSERVATION,,Observations,OBS.146172560,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:15:40Z,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3822334050,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146172591,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,New Zealand,,PRESENT,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-49.287596,178.884967,25,NA,NA,NA,NA,NA,2017-11-25T00:00:00Z,25,11,2017,2481642,2481642,HUMAN_OBSERVATION,,Observations,OBS.146172591,,,NA,CC_BY_NC_4_0,Stichting Observation International,User 10709,NA,,2023-04-18T13:13:49Z,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3691854581,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1293769181,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,Antipodes Island--Ringdove Bay,Otago,PRESENT,100,e2e717bf-551a-4917-bdc9-4fa0f342c530,-49.702072,178.78522,NA,NA,NA,NA,NA,NA,2021-12-09T00:00:00Z,9,12,2021,2481642,2481642,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1293769181,,,NA,CC_BY_4_0,,obsr994795,NA,,2023-01-24T15:09:32Z,,CONTINENT_DERIVED_FROM_COORDINATES
3673265673,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1100455421,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,"At anchor off Leeward Island NZ (-49.694, 178.812)",Otago,PRESENT,25,e2e717bf-551a-4917-bdc9-4fa0f342c530,-49.69361,178.81221,NA,NA,NA,NA,NA,NA,2021-03-15T00:00:00Z,15,3,2021,2481642,2481642,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1100455421,,,NA,CC_BY_4_0,,obsr157297,NA,,2023-01-24T15:11:41Z,,CONTINENT_DERIVED_FROM_COORDINATES
3671141037,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1100454027,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,"NZ (-47.77, 179.076)",Canterbury,PRESENT,12,e2e717bf-551a-4917-bdc9-4fa0f342c530,-47.769634,179.07552,NA,NA,NA,NA,NA,NA,2021-03-16T00:00:00Z,16,3,2021,2481642,2481642,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1100454027,,,NA,CC_BY_4_0,,obsr157297,NA,,2023-01-24T15:23:26Z,,CONTINENT_DERIVED_FROM_COORDINATES
3668893897,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ATL_NZ:OBS1305797194,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes sclateri,,SPECIES,"Eudyptes sclateri Buller, 1888",Eudyptes sclateri,,NZ,Bounty Islands,Canterbury,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,-47.756,179.03445,NA,NA,NA,NA,NA,NA,2021-12-28T00:00:00Z,28,12,2021,2481642,2481642,HUMAN_OBSERVATION,CLO,EBIRD_ATL_NZ,OBS1305797194,,,NA,CC_BY_4_0,,obsr464410,NA,,2023-01-24T15:30:26Z,,CONTINENT_DERIVED_FROM_COORDINATES
