gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4090822945,b466f282-9cad-4442-b031-f74897af65b5,9864b761-7fc8-430b-b5f2-338f2111810e,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,Hotel Cabañas Pimampiro,Galápagos,PRESENT,NA,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-0.9066,-89.606,NA,NA,NA,NA,NA,NA,2022-05-03T15:37:42Z,3,5,2022,5229383,5229383,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,98a5c7b6ebef6fd3ebb719c1ed3d7afad9053d5892230cb3231f276bbd0f7ec9,NA,,2023-04-25T14:42:31Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4090446418,b466f282-9cad-4442-b031-f74897af65b5,7a6e7b10-3d68-40d3-8d1f-63caec41b2bf,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,0c6d40e3-5d96-4a2d-9342-b02833aaa766,-0.006871,-91.457317,NA,NA,NA,NA,NA,NA,2015-08-07T07:57:54Z,7,8,2015,5229383,5229383,HUMAN_OBSERVATION,,,,,,NA,CC_BY_4_0,,3f6840448e5d285a763b0f1b906094c3b03e3779431f18a0d5873b98e606417b,NA,,2023-04-25T14:44:11Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4081000463,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154258185,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.329309,-90.561405,31451,NA,NA,NA,NA,NA,2023-03-12T12:42:46Z,12,3,2023,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,154258185,,alicerosemarks,2023-04-10T12:05:32Z,CC_BY_NC_4_0,alicerosemarks,alicerosemarks,NA,,2023-04-19T13:22:47Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4076130442,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/153044788,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.218222,-91.323075,31451,NA,NA,NA,NA,NA,2023-02-20T09:01:50Z,20,2,2023,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,153044788,,Ana Mireya Guerrero G.,2023-04-01T19:12:07Z,CC_BY_NC_4_0,cbr90,cbr90,NA,,2023-04-19T13:20:30Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4062573796,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150664833,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.511679,-91.122379,31451,NA,NA,NA,NA,NA,2023-03-05T06:41:49Z,5,3,2023,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,150664833,,jefflikeaboy,2023-03-09T17:00:02Z,CC_BY_NC_4_0,jefflikeaboy,jefflikeaboy,NA,,2023-04-19T13:27:07Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4055236326,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150497855,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.200836,-90.421169,31451,NA,NA,NA,NA,NA,2023-02-20T09:17:00Z,20,2,2023,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,150497855,,Paula Peña-Amaya,2023-03-07T16:17:53Z,CC_BY_NC_4_0,Paula Peña-Amaya,Paula Peña-Amaya,NA,,2023-04-19T13:27:27Z,StillImage,COORDINATE_ROUNDED
4046761349,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149860905,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-1.16281,-91.153748,31448,NA,NA,NA,NA,NA,2022-11-12T14:06:25Z,12,11,2022,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,149860905,,tobiashoellerer,2023-02-27T23:08:15Z,CC_BY_NC_4_0,tobiashoellerer,tobiashoellerer,NA,,2023-04-19T13:18:13Z,StillImage,COORDINATE_ROUNDED
4046668311,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149854109,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-1.06546,-91.253597,31448,NA,NA,NA,NA,NA,2016-05-10T10:54:00Z,10,5,2016,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,149854109,,Paolo Cazzaniga,2023-02-27T21:37:27Z,CC_BY_NC_4_0,Paolo Cazzaniga,Paolo Cazzaniga,NA,,2023-04-19T13:25:16Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4046598868,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149501262,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.597098,-91.484989,31451,NA,NA,NA,NA,NA,2022-09-12T15:57:00Z,12,9,2022,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,149501262,,kellypre50,2023-02-23T20:31:24Z,CC_BY_NC_4_0,kellypre50,kellypre50,NA,,2023-04-19T13:25:57Z,StillImage,COORDINATE_ROUNDED
4039333653,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149096702,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.845471,-91.10346,117384,NA,NA,NA,NA,NA,2019-06-14T11:25:00Z,14,6,2019,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,149096702,,taylo916,2023-02-19T02:26:16Z,CC_BY_NC_4_0,taylo916,taylo916,NA,,2023-04-19T13:14:22Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4034866192,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/148432287,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.110914,-91.410213,31451,NA,NA,NA,NA,NA,2019-05-02T15:12:00Z,2,5,2019,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,148432287,,dirkaue,2023-02-10T06:02:20Z,CC_BY_NC_4_0,dirkaue,dirkaue,NA,,2023-04-19T13:27:28Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4028995871,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/148023447,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-1.22532,-90.429439,31447,NA,NA,NA,NA,NA,2023-02-04T09:39:36Z,4,2,2023,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,148023447,,lbel138,2023-02-04T15:40:40Z,CC_BY_NC_4_0,lbel138,lbel138,NA,,2023-04-19T13:16:23Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4028637172,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/147460797,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.239446,-91.326247,31451,NA,NA,NA,NA,NA,2022-04-16T16:53:25Z,16,4,2022,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,147460797,,srichter13,2023-01-27T15:12:12Z,CC_BY_NC_4_0,srichter13,srichter13,NA,,2023-04-19T13:16:05Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4022130861,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/147229910,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.388956,-90.555702,31451,NA,NA,NA,NA,NA,2023-01-03T17:26:50Z,3,1,2023,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,147229910,,owlliel,2023-01-24T00:27:32Z,CC_BY_NC_4_0,owlliel,owlliel,NA,,2023-04-19T13:20:44Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4018292087,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146491412,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.619267,-91.33089,31450,NA,NA,NA,NA,NA,2022-12-27T09:34:50Z,27,12,2022,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,146491412,,ayaa246,2023-01-13T22:21:08Z,CC_BY_NC_4_0,ayaa246,ayaa246,NA,,2023-04-19T13:25:23Z,StillImage,COORDINATE_ROUNDED
4018279064,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146476241,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.583316,-91.008988,31451,NA,NA,NA,NA,NA,2022-12-27T17:09:55Z,27,12,2022,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,146476241,,ayaa246,2023-01-13T17:46:52Z,CC_BY_NC_4_0,ayaa246,ayaa246,NA,,2023-04-19T13:21:25Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4018185817,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146314424,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.951242,-90.910682,31449,NA,NA,NA,NA,NA,2023-01-07T15:44:00Z,7,1,2023,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,146314424,,Alex Doyle,2023-01-11T03:43:43Z,CC_BY_NC_4_0,Alex Doyle,Alex Doyle,NA,,2023-04-19T13:20:33Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4018142072,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146476190,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.661365,-91.388218,31450,NA,NA,NA,NA,NA,2022-12-27T12:02:38Z,27,12,2022,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,146476190,,ayaa246,2023-01-13T17:46:17Z,CC_BY_NC_4_0,ayaa246,ayaa246,NA,,2023-04-19T13:24:33Z,StillImage,COORDINATE_ROUNDED
4015240974,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/145898654,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-1.286496,-90.429326,31447,NA,NA,NA,NA,NA,2022-12-15T09:48:00Z,15,12,2022,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,145898654,,Hannah Girgente,2023-01-05T15:41:47Z,CC_BY_NC_4_0,Hannah Girgente,Hannah Girgente,NA,,2023-04-19T13:27:05Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4014980275,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146120923,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus mendiculus,,SPECIES,"Spheniscus mendiculus Sundevall, 1871",Spheniscus mendiculus,,EC,,Galápagos,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.521594,-91.030438,31451,NA,NA,NA,NA,NA,2022-12-27T16:40:51Z,27,12,2022,5229383,5229383,HUMAN_OBSERVATION,iNaturalist,Observations,146120923,,Hanae Garrison,2023-01-08T14:11:34Z,CC_BY_NC_4_0,Hanae Garrison,Hanae Garrison,NA,,2023-04-19T13:23:00Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
